Plate,Plate Row,Plate Column,Well,Transposon Coordinates,Transposon Locatabilities,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags,Voigt Score
1,PR01,PC01,A1,"2831459","unambiguous","","1044","1.00","RAST2:fig|442.17.peg.387","0.0044124751277129825"
1,PR01,PC01,A2,"","","","","","",""
1,PR01,PC01,A3,"718589","unambiguous","","609","0.47","RAST2:fig|442.17.peg.1590","0.000675116252365963"
1,PR01,PC01,A4,"","","","","","",""
1,PR01,PC01,A5,"2579536","unambiguous","","1146","0.78","RAST2:fig|442.17.peg.116","0.001280198380954551"
1,PR01,PC01,A6,"3359139","unambiguous","","336","0.54","RAST2:fig|442.17.peg.1268","0.005569411963284264"
1,PR01,PC01,A7,"","","","","","",""
1,PR01,PC01,A8,"657625","unambiguous","","953","0.95","RAST2:fig|442.17.peg.1534","0.0001331443789972338"
1,PR01,PC01,A9,"1872158, 3396464","ambiguous, ambiguous",", None","1741,NA","0.54, NA","RAST2:fig|442.17.peg.2720, None","1.8452022178879785e-05, 0.0020328371104855517"
1,PR01,PC01,A10,"1334790, 2873232, 3203956","ambiguous, ambiguous, ambiguous",", , None","177,575,NA","0.10, 0.57, NA","RAST2:fig|442.17.peg.2220, RAST2:fig|442.17.peg.426, None","0.003695380364928857, 0.0005439619578154901, 0.0030851886799167214"
1,PR01,PC01,A11,"2127042","unambiguous","","1240","1.00","RAST2:fig|442.17.peg.2957","0.004391635064435878"
1,PR01,PC01,A12,"1965010","ambiguous","","345","0.33","RAST2:fig|442.17.peg.2812","1.7119365067630615e-12"
1,PR01,PC01,B1,"857231, 1504181, 2069986","unambiguous, ambiguous, ambiguous",", , ","229,1063,1495","0.06, 0.76, 0.62","RAST2:fig|442.17.peg.1748, RAST2:fig|442.17.peg.2364, RAST2:fig|442.17.peg.2911","4.4012372150814994e-07, 3.618143243306718e-13, 0.0006689196757567196"
1,PR01,PC01,B2,"","","","","","",""
1,PR01,PC01,B3,"2461269","ambiguous","","573","0.15","RAST2:fig|442.17.peg.23","0.003987173578954359"
