Gene,Gene Identifier,Number of AT Sites,AT Coordinates
Integrase,RAST2:fig|442.17.peg.834,67,"131, 137, 149, 150, 154, 173, 174, 186, 195, 200, 211, 221, 222, 245, 252, 275, 280, 307, 323, 328, 329, 339, 374, 389, 416, 486, 493, 521, 559, 571, 572, 596, 603, 604, 657, 662, 670, 680, 709, 725, 737, 756, 757, 760, 761, 773, 793, 794, 799, 800, 816, 824, 867, 869, 872, 873, 928, 931, 932, 941, 942, 967, 989, 1003, 1007, 1011, 1025"
DNA integration/recombination/invertion protein,RAST2:fig|442.17.peg.835,38,"1359, 1365, 1377, 1378, 1382, 1401, 1402, 1414, 1423, 1428, 1439, 1449, 1450, 1473, 1480, 1503, 1508, 1535, 1551, 1556, 1557, 1567, 1602, 1617, 1644, 1714, 1721, 1749, 1787, 1799, 1800, 1824, 1831, 1832, 1885, 1890, 1898, 1908"
DNA integration/recombination/invertion protein,RAST2:fig|442.17.peg.836,25,"1930, 1936, 1948, 1949, 1953, 1972, 1973, 1985, 1994, 1999, 2010, 2020, 2021, 2044, 2051, 2074, 2079, 2106, 2122, 2127, 2128, 2138, 2173, 2188, 2215"
Transposase,RAST2:fig|442.17.peg.837,17,"2262, 2268, 2280, 2281, 2285, 2304, 2305, 2317, 2326, 2331, 2342, 2352, 2353, 2376, 2383, 2406, 2411"
Mobile element protein,RAST2:fig|442.17.peg.838,24,"2731, 2737, 2749, 2750, 2754, 2773, 2774, 2786, 2795, 2800, 2811, 2821, 2822, 2845, 2852, 2875, 2880, 2907, 2923, 2928, 2929, 2939, 2974, 2989"
D-serine ammonia-lyase,RAST2:fig|442.17.peg.839,114,"2996, 3002, 3014, 3015, 3019, 3038, 3039, 3051, 3060, 3065, 3076, 3086, 3087, 3110, 3117, 3140, 3145, 3172, 3188, 3193, 3194, 3204, 3239, 3254, 3281, 3351, 3358, 3386, 3424, 3436, 3437, 3461, 3468, 3469, 3522, 3527, 3535, 3545, 3574, 3590, 3602, 3621, 3622, 3625, 3626, 3638, 3658, 3659, 3664, 3665, 3681, 3689, 3732, 3734, 3737, 3738, 3793, 3796, 3797, 3806, 3807, 3832, 3854, 3868, 3872, 3876, 3890, 3936, 4009, 4024, 4030, 4046, 4048, 4051, 4052, 4053, 4054, 4063, 4079, 4098, 4099, 4108, 4109, 4123, 4129, 4130, 4132, 4141, 4144, 4157, 4161, 4162, 4181, 4182, 4186, 4190, 4191, 4201, 4202, 4214, 4217, 4218, 4226, 4230, 4231, 4241, 4252, 4255, 4262, 4271, 4273, 4277, 4282, 4293"
hypothetical protein,RAST2:fig|442.17.peg.840,68,"4408, 4414, 4426, 4427, 4431, 4450, 4451, 4463, 4472, 4477, 4488, 4498, 4499, 4522, 4529, 4552, 4557, 4584, 4600, 4605, 4606, 4616, 4651, 4666, 4693, 4763, 4770, 4798, 4836, 4848, 4849, 4873, 4880, 4881, 4934, 4939, 4947, 4957, 4986, 5002, 5014, 5033, 5034, 5037, 5038, 5050, 5070, 5071, 5076, 5077, 5093, 5101, 5144, 5146, 5149, 5150, 5205, 5208, 5209, 5218, 5219, 5244, 5266, 5280, 5284, 5288, 5302, 5348"
Mobile element protein,RAST2:fig|442.17.peg.841,26,"5769, 5775, 5787, 5788, 5792, 5811, 5812, 5824, 5833, 5838, 5849, 5859, 5860, 5883, 5890, 5913, 5918, 5945, 5961, 5966, 5967, 5977, 6012, 6027, 6054, 6124"
D-3-phosphoglycerate dehydrogenase,RAST2:fig|442.17.peg.842,68,"6287, 6293, 6305, 6306, 6310, 6329, 6330, 6342, 6351, 6356, 6367, 6377, 6378, 6401, 6408, 6431, 6436, 6463, 6479, 6484, 6485, 6495, 6530, 6545, 6572, 6642, 6649, 6677, 6715, 6727, 6728, 6752, 6759, 6760, 6813, 6818, 6826, 6836, 6865, 6881, 6893, 6912, 6913, 6916, 6917, 6929, 6949, 6950, 6955, 6956, 6972, 6980, 7023, 7025, 7028, 7029, 7084, 7087, 7088, 7097, 7098, 7123, 7145, 7159, 7163, 7167, 7181, 7227"
"Transcriptional regulator, LysR family",RAST2:fig|442.17.peg.843,67,"7360, 7366, 7378, 7379, 7383, 7402, 7403, 7415, 7424, 7429, 7440, 7450, 7451, 7474, 7481, 7504, 7509, 7536, 7552, 7557, 7558, 7568, 7603, 7618, 7645, 7715, 7722, 7750, 7788, 7800, 7801, 7825, 7832, 7833, 7886, 7891, 7899, 7909, 7938, 7954, 7966, 7985, 7986, 7989, 7990, 8002, 8022, 8023, 8028, 8029, 8045, 8053, 8096, 8098, 8101, 8102, 8157, 8160, 8161, 8170, 8171, 8196, 8218, 8232, 8236, 8240, 8254"
